Plant_ID,Site,Location,Quadrat,Species,Date_Planted,Date_Measured,Age_Months,Height_cm,Num_Leaves,Flowering,Num_Flowers,Condition,Notes
,site_A,Loc_1,Q3,Hebe speciosa,14/8/21,1/1/22,,64,34,FALSE,0,could be dead,Bellbird observed in adjacent canopy. Vigorous; multiple flower spikes developing.
,SiteA,Loc_2,Q6.,Coprosma robuts,26/10/21,5/7/22,,74,191,YES,27,good,Berries present; fruiting plant.
,Site_a,Loc_2,q3,Phormium tenax,12/2/19,3/9/21,,164,21,FALSE,0,not great,Multiple crowns present; measured tallest. Sandy topsoil exposed around base.
,SiteB,Loc_3,Q01,Pittosporum tenuifolium,21/10/2019,12-Jul,,36,103,n,0,poor,Percentage_Cover hard to assess; dense grass cover makes boundary unclear.
,site_A,LOC1,Q2,Phormium ternax,28/8/2020,5/29/21,,118,148,no,0,very healthy,Windburn on leaves. Stem very solid.
,SiteA,Loc_1,Q5,Pittosporum tenuifolium,2/12/24,15-Mar,,146,211,TRUE,3,not too bad,Leaf count may be inflated; plant very bushy with dense branching. Recount recommended.
,Site_B,Loc_4,quad5,Leptospernum scoparium,24/01/2017,9/6/18,,106,114,FALSE,0,great condition,Kikuyu rhizomes present beneath mulch layer. Difficult to assess root competition.
,site_a,Loc-2,Q6,Coprosma robusta,06.05.19,3/3/21,,48,1290,TRUE,13,excellent,Small frog observed nearby. Loam soil exposed at base.
,SITE_A,Loc-1,Q4,Leptospermum scoparium,18.11.22,25-Dec,,121,228,YES,28,struggling,Very healthy. Berries present on adjacent coprosma; good fruiting season this year.
,Site_B,Loc_3,Q2,Pseudopanax crassifolius,2/2/19,17/7/2020,,29,219,YES,20,thriving,Condition not assessed; area inaccessible due to wet ground.
,SiteB,Location_1,Q2,Coprosma robusta,20/7/2018,15/5/2020,,72,235,FALSE,0,good,Kikuyu removed during visit. Exposed root damage minor.
,Site_B,Loc-2,Q3,Phormium tenax,17/2/2022,17/9/2022,,77,245,TRUE,20,Fair,Date_Measured not recorded; recording sheet wet. Values transcribed but date lost.
,Site A,Loc_1,quad3,Leptospermum scoparium,23/5/2020,8/7/21,,87,126,NO,0,very poor,Strong canopy developing. Good barrier effect visible at quadrat edge.
,Site_A,Loc_4,Q6,Pseudopanax crassifolius,9/11/23,17/3/2024,,39,71,n,0,Poor,Height not recorded; pole broken on site. Leaf count approximate.
,Site_b,loc_04,Q 1,Pseudopanax crassifolius,4/8/23,31/7/24,,16,109,YES,34,struggling,Tradescantia coverage increasing rapidly. Urgent attention needed.
,Site_A,Location_2,Q6,Hebe speciosa,12/9/17,17/5/19,,27,130,Y,18,fair,Coastal exposure evident. Salt burn on some older leaves. Root anchoring looks strong.
,site_b,Loc-2,Q2,Hebe speciosus,5/4/17,11-Sep,,44,51,Y,15,Healthy,Bindweed removed from stem during visit. Will recheck next survey.
,SiteA,Loc_3,Q3,Phormium tenax,9/11/18,29/10/19,,200,58,FALSE,0,Good,Pukeko tracks in mud nearby. Ground cover looking healthy.
,site_a,LOC_4,Q 4,Coprosmaa robusta,2/7/19,11/2/20,,79,197,no,0,GOOD,Possibly dead; no new growth visible. Bark peeling from lower stem. Check at next visit.
,site_b,Loc_1,q4,Hebe speciosa,20/1/2017,10/5/17,,58,155,N,0,excellent,Leaf litter accumulating around base. Sign of establishing well.
,SITE_B,LOC_1,Q4a,Hebe speciosa,11/27/21,18.07.22,,76,176,no,0,excellent,Kikuyu rhizomes present beneath mulch layer. Difficult to assess root competition.
,Site_A,Loc_2,Q5,Pseudopanax crassifolius,11/6/24,28/6/25,,53,207,No,0,Good,Very healthy. Berries present on adjacent coprosma; good fruiting season this year.
,Site_A,Location_1,Q03,Pittosporum tenuifolium,22/4/2023,17/06/2024,,135,132,No,0,Good,Very exposed ridge position. Windburn on uppermost leaves. Stem diameter looks good.
,SiteB,Loc_1,Q2.,Phormium tenax,21/10/17,13/10/2019,,42,280,no,0,ok,Weed pressure reducing light to lower leaves. Growth slowing.
,Site_B,loc_1,Q6a,Phormium tenax,6/3/21,1/2/22,,128,121,n,0,in decline,Weed mat placed around base. Check next visit for effectiveness.
,Site A,LOC_4,Q5.,Pittosporum tenuifolium,,13-Nov,,88,176,NO,3,not great,Dense ground cover competing. Grass encroaching from all sides.
,Site_A,Loc_3.,Q4,Phormium tenax,23/03/2024,20/08/2025,,128,163,Y,9,dying,Bindweed at lower stem only. Removed.
,Site_B,Loc_2,Q6a,Pseudopanax crassifolius,22-Feb,30/5/2021,,29,167,yes,30,not bad,Moderate weed pressure. Plant coping well despite competition.
,Site_A,Loc_4,Q6,Phormium tenax,11.09.23,7-Dec,,138,259,Yes,4,struggling,Percentage_Cover difficult to assess on steep slope. Value may be under/overestimated.
,Site_A,LOC_2,Q4,Leptospermum scoparium,24/9/22,28/7/2024,,27,179,Y,6,thriving,Windburn on leaves. Stem very solid.
,Site_A,Loc_4,Q3a,Leptospermum scoparium,15.07.22,25/05/2024,,121,95,YES,6,GOOD,Small frog observed nearby. Loam soil exposed at base.
,Site_A,Loc_2,Q04,Phormium tenax,15/5/2021,7/20/21,,124,115,FALSE,0,Reasonable,Kikuyu grass dense within 50cm of base. Ground cover competing strongly.
,Site_B,Loc_2,Q2,Pseudopanax crassifolius,28.06.17,3/5/19,,29,194,yes,6,in decline,Kikuyu removed during visit. Exposed root damage minor.
,Site_A,LOC_1,QI,Pseudopanax crassifolius,1/2/18,24/8/2019,,22,272,FALSE,0,thriving,Height not recorded; measuring tape misplaced during visit.
,Site_B,Loc_3.,QI,Pittosporum tenuifolium,20/5/2021,5/3/22,,112,204,n,0,needs attention,Sandy topsoil exposed around base. Multiple stems.
,Site_B,Loc_4,Q1,Leptospermum scoparium,20/02/2017,,,75,211,TRUE,26,could be better,Percentage_Cover hard to assess; dense grass cover makes boundary unclear.
,Site_A,LOC_2,Q5,Pittosporum tenuifolium,6-Jul,2/3/22,,44,21,n,0,reasonable,Leaf tips browning. Tradescantia present within 1m.
,SiteA,Loc_1,Q2,Hebe speciosa,1/24/23,23.08.24,,61,151,FALSE,0,Healthy,Very little weed competition here. Natural leaf litter forming.
,Site_A,Loc_3,Q4,Pittosporum tenuifolium,8/9/17,23-Feb,,31,128,n,0,thriving,Excellent specimen. Bird droppings on upper leaves; likely a perch site.
,Site_A,Location_3,Q1.,Hebe speciosa,11/4/19,29/11/19,,15,278,Yes,30,POOR,Leaf litter accumulating around base. Sign of establishing well.
,Site_B,LOC3,Q3a,Coprosma robusta,18/2/2019,16/11/2020,,86,22,yes,35,Good,Bindweed on lower branches. Condition hard to assess through weed cover.
,site_A,LOC1,q5,Phormium tenax,10/3/17,4/3/18,,148,33,NO,0,needs attention,Multiple crowns present; measured tallest. Sandy topsoil exposed around base.
,Site_B,LOC_2,Q1,Phormium tenax,23-Apr,20/9/2025,,73,27,TRUE,3,reasonable,Percentage_Cover hard to assess; dense grass cover makes boundary unclear.
,Site_B,Loc_3.,quad2,Coprosma robusta,21/6/2019,18-Oct,,122,60,Yes,35,good,Weed mat placed around base. Check next visit for effectiveness.
,Site_B,LOC1,Q6,Phormium tenax,02.04.22,22/07/2023,,196,182,No,3,Good,Leaf count may be inflated; plant very bushy with dense branching. Recount recommended.
,Site_b,LOC_3,Q3a,Pittosporum tenuifolium,26/12/2021,24/9/23,,104,161,y,180,POOR,Bellbird observed in adjacent canopy. Vigorous; multiple flower spikes developing.
,Site_A,Loc_2,Q5a,Phormium tenax,25/11/23,21/2/24,,199,195,n,0,thriving,Wax-eye activity observed in adjacent canopy.
,Site_B,Loc_3,Q3.,Coprosma robusta,2/10/23,09.01.24,,125,-168,y,10,great condition,Tradescantia spreading from west. Competition increasing significantly.
,Site_A,Loc_1,q2,Pittosporum tenuifolium,27/10/2023,30/6/24,,,76,TRUE,14,great condition,Dense leaf litter around base approximately 4cm deep. Strong canopy overhead.
,Site_A,Location_1,Q6a,Pseudopanax crassifolius,18/5/2020,14/8/2021,,22,241,Y,20,Reasonable,Tradescantia coverage increasing rapidly. Urgent attention needed.
,Site_b,LOC3,Q1,Pseudopanax crassifolius,,23/10/2025,,52,55,no,0,not bad,Possibly dead; no new growth visible. Bark peeling from lower stem. Check at next visit.
,SITE_A,loc_3,quad6,Hebe speciosa,19-Oct,,,72,99,FALSE,0,in decline,Strong canopy developing. Good barrier effect visible at quadrat edge.
,Site_A,Loc_4,Q4,Leptospermum scoparium,9/7/18,3-Nov,,111,168,N,0,needs attention,Dense tradescantia around base. Weed mat removed during visit.
,Site_b,LOC2,Q5,Phormium tenax,12/4/18,4/5/19,,125,142,TRUE,11,thriving,Percentage_Cover difficult to assess on steep slope. Value may be under/overestimated.
,Site_a,LOC4,q2,Phormium tenax,25/3/2022,19/08/2022,,1130,25.6,TRUE,10,thriving,Ferns growing adjacent; good habitat complexity developing. Soil moist.
,Site_A,Loc_2,Q2,Leptospermum scoparium,27/8/2018,22/6/20,,120,59,No,0,in decline,Percentage_Cover hard to assess; dense grass cover makes boundary unclear.
,Site_A,Loc_4,Q3a,Pittosporum tenuifolium,01.04.21,10/12/21,,91,105,No,0,thriving,Bindweed wrapped around lower branch. Removed during visit.
,Site_B,LOC1,quad6,Pittosporum tenuifolium,6/1/17,2/1/19,,84,98,0,0,,Very healthy. Berries present on adjacent coprosma; good fruiting season this year.
,Site_B,Loc-1,Q 1,Pittosporum tenuifolium,10-Jul,7/17/18,,129,269,FALSE,0,fair,Heavy kikuyu pressure from east side. Root zone likely affected.
,Site_b,LOC1,Q 1,Hebe speciosa,24/1/2024,17/7/25,,42,103,FALSE,0,fair,Measurement uncertain; steep ground made positioning difficult. Recheck advised.
,Site_A,LOC_2,quad4,Phormium tenax,2/6/24,17.08.24,,67,-59,TRUE,4,,Excellent specimen. Bird droppings on upper leaves; likely a perch site.
,Site_A,Loc_3,Q03,Phormium tenax,22-Feb,10-Apr,,55,229,TRUE,3,poor,"Standing water, well draining. Plant vigorous."
,Site_B,Loc_3,Q06,Leptospermum scoparium,26.04.24,25/5/2025,,93,191,no,0,great condition,Heavily shaded by dense manuka above. Etiolated growth form.
,Site_A,LOC2,Q 6,Pseudopanax crassifolius,19/12/2019,12/10/20,,45,139,NO,0,Excellent,Very exposed ridge position. Windburn on uppermost leaves. Stem diameter looks good.
,Site_B,Loc_1,Q1,Leptospermum scoparium,13/12/2023,3/7/25,,43,9.1,y,25,not bad,Height measurement may be in error; recheck next visit. Loam soil exposed at base.
,Site_A,Loc_4,q3,Coprosma robusta,15/10/2019,30/10/2020,,83,180,TRUE,2,fair,Some couch grass at root zone. Otherwise healthy.
,Site_B,LOC4,Q 5,Coprosma robusta,17.06.21,7/5/22,,25,84,1,28,Excellent,Tradescantia spreading from west. Competition increasing significantly.
,Site_B,Loc_1,Q5a,Coprosma robusta,14/11/2021,3/5/22,,62,149,0,0,Fair,Very windy on day of measurement. Some difficulty holding height rod steady.
,SiteA,Loc_4,Q04,Coprosma robusta,21/3/19,29/4/20,,35,177,1,34,POOR,Excellent specimen. Bird droppings on upper leaves; likely a perch site.
,Site_A,Loc-3,quad5,Pseudopanax crassifolius,3/8/20,16/7/2021,,114,49,Yes,10,struggling,Multiple crowns present; measured tallest. Sandy topsoil exposed around base.
,Site_B,Loc_4,quad2,Hebe speciosa,4-Apr,25/11/2024,,16,99,YES,21,Poor,Very little weed competition here. Natural leaf litter forming.
,Site_B,Loc 2,Q4,Leptospermum scoparium,20.11.21,27/4/22,,43,17,FALSE,0,Healthy,Some couch grass at root zone. Otherwise healthy.
,Site_B,Loc-2,q6,Pseudopanax crassifolius,5/1/24,9/20/25,,37,114,NO,0,very healthy,Tradescantia spreading from west. Competition increasing significantly.
,Site_A,Loc_2,Q01,Pittosporum tenuifolium,26/3/18,8-Aug,,135,278,y,2,Reasonable,Very exposed ridge position. Windburn on uppermost leaves. Stem diameter looks good.
,Site_A,LOC4,Q 3,Hebe speciosa,7/18/21,17/12/2022,,88,114,TRUE,27,good,Leaf litter accumulating around base. Sign of establishing well.
,Site_A,Loc_4,Q5.,Pseudopanax crassifolius,19/3/17,26-Mar,,69,178,FALSE,0,GOOD,Very exposed ridge position. Windburn on uppermost leaves. Stem diameter looks good.
,Site B,Loc_1,Q4a,Leptospermum scoparium,24/1/2022,01.07.22,,210,193,TRUE,14,average,Coastal exposure evident. Salt burn on some older leaves. Root anchoring looks strong.
,Site_B,Loc_2,Q3,Pittosporum tenuifolium,6/1/17,15.07.17,,125,67,NO,0,Poor,Bindweed wrapped around lower branch. Removed during visit.
,Site B,loc_1,Q4.,Leptospermum scoparium,27-Mar,27/7/2020,,,113,no,0,Fair,Windburn on leaves. Stem very solid.
,Site_a,Loc_4,q1,Pseudopanax crassifolius,11/7/22,5/12/23,,64,67,No,0,not great,Date_Measured not recorded; recording sheet wet. Values transcribed but date lost.
,SiteA,Loc_2,Q3,Pittosporun tenuifolium,19/02/2022,5/15/22,,93,47,0,0,needs attention,Heavily shaded by dense manuka above. Etiolated growth form.
,Site_A,Loc_2,Q2,Phormium tenax,10/16/20,,,114,54,y,1,average,Percentage_Cover difficult to assess on steep slope. Value may be under/overestimated.
,SITE_B,Loc_1,Q6,Leptospermum scoparium,26-Jan,1-Jan,,60,273,TRUE,19,Excellent,Bindweed removed from stem during visit. Will recheck next survey.
,Site_A,loc_1,Q1,Hebe speciosa,23/08/2023,11.03.25,,60,21,yes,28,Poor,Multiple crowns present; measured tallest. Sandy topsoil exposed around base.
,SiteA,Loc_2,Q6,Hebe speciosa,17/01/2023,12/9/23,,45,150,FALSE,0,not great,Oxalis and clover present. Competing for light at base.
,Site_B,LOC_3,Q4,Pseudopanax crassifolius,4/7/18,3/17/19,,65,206,Yes,26,,Leaf litter accumulating around base. Sign of establishing well.
,Site_A,Loc_2,Q3,Pseudopanax crassifolius,7/6/23,26/12/24,,,114,TRUE,14,Average,Gecko under adjacent rock. No new growth concerns.
,Site_B,Loc_3,q1,Coprosma robusta,10/4/22,17/02/2024,,98,59,TRUE,16,Average,Some couch grass at root zone. Otherwise healthy.
,site_a,Loc_4,Q3,Leptospermum scoparium,5/4/19,6/4/20,,24,46,no,0,could be better,Height measurement may be in error; recheck next visit. Loam soil exposed at base.
,Site_A,Loc_4,Q 6,Leptospermum scoparium,7-Mar,14/6/25,,38,164,y,22,fair,Pukeko tracks in mud nearby. Ground cover looking healthy.
,Site A,LOC_2,Q 3,Hebe speciosa,7/4/23,3/30/24,,65,141,FALSE,0,poor,Some couch grass at root zone. Otherwise healthy.
,SiteB,Loc_3,Q6,Phormium tenax,28/12/2019,12/4/21,,151,210,Yes,30,Excellent,Very little weed competition here. Natural leaf litter forming.
,Site_a,loc_2,Q 3,Phormium tenax,3/15/24,5/11/24,,126,23,FALSE,0,very poor,Standing water present in shallow depression 2m to south.
,Site_A,Loc_1,Q6,Leptospermum scoparium,23/6/18,30/6/2019,,48,201,1,20,,Condition not assessed; area inaccessible due to wet ground.
,Site_B,LOC_2,q3,Pittosporum tenuifolium,19/9/23,18/12/2024,,-89,264,0,0,poor,Coastal exposure evident. Salt burn on some older leaves. Root anchoring looks strong.
,Site_A,Loc_3,Q2,Coprosma robusta,13/1/17,1-Sep,,134,197,n,0,needs attention,Condition not assessed; area inaccessible due to wet ground.
,Site_A,Loc_3,Q5,Pseudopanax crassifolus,4/14/22,22-Aug,,35,31,FALSE,0,fair,Gecko under adjacent rock. No new growth concerns.
,site_B,Loc-3,Q6,Coprosma robusta,5/14/17,16/10/2017,,200,199,NO,0,looking great,Height not recorded; measuring tape misplaced during visit.
,Site_A,Loc-3,Q5a,Pittosporum tenuifolium,4/9/17,4-Aug,,38,39,FALSE,0,GOOD,Kikuyu removed during visit. Exposed root damage minor.
,site_B,Loc_l,quad1,Coprosma robusta,21-Sep,28-Apr,,121,990,FALSE,0,Reasonable,Weed pressure moderate. Plant coping.
,Site_A,Loc_4,quad6,Leptospermum scoparium,13/3/2023,,,93,117,N,0,Fair,Oxalis and clover present. Competing for light at base.
,Site_B,LOC4,Q5a,Phormium tenax,27/4/2024,12/9/24,,144,257,yes,350,Good,Weed pressure moderate. Plant coping.
,Site_A,Loc_1,Q1.,Leptospermum scoparium,27/2/17,28.03.18,,91,278,y,25,fair,Coastal exposure evident. Salt burn on some older leaves. Root anchoring looks strong.
,Site A,Loc-1,Q5,Hebe speciosa,18/11/2018,20/7/2019,,89,179,1,25,looking great,Windburn on leaves. Stem very solid.
,site_B,Loc_3,Q4,Coprosma robusta,12/8/20,12/10/21,,244,,0,0,looking great,Kikuyu rhizomes present beneath mulch layer. Difficult to assess root competition.
,site_B,Loc_4,Q5,Hebe speciosa,12/2/23,9/6/23,,65,250,FALSE,0,could be dead,Bindweed removed from stem during visit. Will recheck next survey.
,SITE_A,Loc_4,Q5,Leptospermum scoparium,12/10/19,20.07.21,,84,30,1,12,looking great,Kikuyu grass dense within 50cm of base. Ground cover competing strongly.
,Site_A,LOC_3,Q1,Phormium tenax,28/11/2018,13/05/2019,,440,245,n,0,Poor,Weed mat placed around base. Check next visit for effectiveness.
,Site_b,LOC1,Q 4,Leptospermum scoparium,10/5/22,27/5/2023,,99,26,FALSE,0,looking great,Weed pressure reducing light to lower leaves. Growth slowing.
,Site B,Loc_3,Q4,Pseudopanax crassifolius,3/6/23,27/7/2024,,29,79,n,0,Fair,Oxalis and clover present. Competing for light at base.
,Site_A,Loc-3,quad3,Pseudopanax crassifoluius,17/2/2019,21/9/2019,,17,231,no,0,needs attention,Dappled light from pohutukawa overhead. Lichen on stem; sign of clean air.
,SITE_A,Loc_4,Q1,Leptospermum scoparium,20/2/20,7/21/21,,30,21,FALSE,0,in decline,Ferns growing adjacent; good habitat complexity developing. Soil moist.
,Site B,loc_3,q2,Hebe speciosa,24/12/2022,30/07/2023,,85,41,no,0,reasonable,Leaf litter accumulating around base. Sign of establishing well.
,Site_B,LOC_2,Q4,Pseudopanax crassifolius,9/23/22,4/3/23,,21,262,yes,23,poor,Kikuyu grass dense within 50cm of base. Ground cover competing strongly.
,Site A,Loc_4,QI,Leptospermum scoparium,11.08.17,14/8/2018,,120,82,y,25,Average,Strong canopy developing. Good barrier effect visible at quadrat edge.
,Site B,Loc_3,Q2,Pittosporum tenuifolium,17/11/2018,28/08/2020,,72,185,YES,21,healthy,Weed pressure moderate. Plant coping.
,Site_B,Loc_3,Q5,Leptospermum scoparium,19/7/2018,25/9/2018,,43,22,NO,0,Excellent,"Standing water, well draining. Plant vigorous."
,Site_B,Loc_2,Q 3,Phormium teanx,9/10/18,30/10/2019,,61,129,No,0,looking great,Heavy kikuyu pressure from east side. Root zone likely affected.
,Site_B,Location_4,Q6,Pseudopanax crassifolius,,15/8/2023,,28,247,YES,1,GOOD,Couch grass competition at edge of root zone. Plant maintaining itself.
,Site_B,Loc_1,Q2,Hebe speciosa,15/8/19,22/4/2021,,71,-136,FALSE,0,Excellent,Weed pressure reducing light to lower leaves. Growth slowing.
,Site_B,Loc_l,Q 2,Leptospermum scoparium,17/4/2019,10/7/19,,38,94,y,0,OK,Kikuyu rhizomes present beneath mulch layer. Difficult to assess root competition.
,SiteA,Location_1,Q5.,Coprosma robusta,26.05.17,5/9/18,,90,78,TRUE,22,needs attention,Height not recorded; pole broken on site. Leaf count approximate.
,site_A,Loc 2,Q 5,Pittosporum tenuifolium,11/1/22,24/8/2023,,103,170,Yes,14,ok,Dense tradescantia around base. Weed mat removed during visit.
,Site_B,loc_1,Q4,Pittosporum tenuifolium,19/12/18,3/1/20,,54,40,N,0,poor,Percentage_Cover hard to assess; dense grass cover makes boundary unclear.
,Site B,Loc_3,Q04,Pseudopanax crassifolius,3/11/23,21/3/24,,55,77,0,0,ok,Leaf count may be inflated; plant very bushy with dense branching. Recount recommended.
,Site_A,LOC_4,Q6,Phormium tenax,5/26/17,05.05.18,,164,57,YES,26,not great,Very healthy. Berries present on adjacent coprosma; good fruiting season this year.
,Site A,Loc_2,Q2,Coprosma robusta,01.09.23,13/1/2024,,30,255,FALSE,0,Reasonable,Pukeko tracks in mud nearby. Ground cover looking healthy.
,Site_A,Loc-3,Q5,Coprosma robusta,1/1/20,14-Mar,,82,220,FALSE,0,poor,Heavily suppressed by surrounding vegetation. No new growth visible this visit.
,Site_b,LOC_3,Q11,Phormium tenax,4-Apr,31/1/2023,,160,238,N,0,could be dead,Possibly dead; no new growth visible. Bark peeling from lower stem. Check at next visit.
,site_B,loc_1,Q06,Pittosporum tenuifolium,7/8/18,20/6/20,,134,269,NO,0,poor,Dense gorse noted 5m north. Not yet encroaching but monitoring required.
,Site_B,Loc_2,Q5,Pittosporum tenuifolium,22/11/24,15/7/2025,,49,103,y,22,could be better,Very little weed competition here. Natural leaf litter forming.
,site_a,Loc-3,Q2,Hebe speciosa,25/07/2020,5/3/22,,69,219,1,38,needs attention,Coastal exposure evident. Salt burn on some older leaves. Root anchoring looks strong.
